"Coin","CurrentPrice","Time","DailyGain","DailyRating","DailyPosition","DailyVolume","60.0.Gain","60.0.Rating","60.0.Position","60.0.Volume","60.1.Gain","60.1.Rating","60.1.Position","60.1.Volume","60.Trajectory","60.VolumeIncrease","60.VolumePercent","3600.0.Gain","3600.0.Rating","3600.0.Position","3600.0.Volume","3600.1.Gain","3600.1.Rating","3600.1.Position","3600.1.Volume","3600.Trajectory","3600.VolumeIncrease","3600.VolumePercent","0.HourTrajectory","1.HourTrajectory","86400.0.Gain","86400.0.Rating","86400.0.Position","86400.0.Volume","86400.1.Gain","86400.1.Rating","86400.1.Position","86400.1.Volume","86400.Trajectory","86400.VolumeIncrease","86400.VolumePercent","0.DayTrajectory","1.DayTrajectory"
"KNC-USD","2.7277","6/2/2021 3:16:44 PM","1.2939","2.0996","Middle","24389480.2","1.0039","0.0041","Top","2884.2","1.0028","0.0042","Top","4831.7","0.0011","0.5969","0.0001","0.9908","0.0596","Middle","107594.6","0.9871","0.0746","Middle","969793.6","0.0037","0.1109","0.0044","0.0037","-0.0157","1.1538","1.6562","Middle","22667465.6","1.3956","1.1399","Middle","7650515.4","-0.2418","2.9629","0.9294","-0.0168","-0.3928"
"ICP-USD","106.71","6/2/2021 3:16:59 PM","0.9961","0.7426","Middle","457961.5288","1.0012","0.0204","Middle","122.6741","1.0020","0.0449","Middle","700.2873","-0.0008","0.1752","0.0003","1.0099","0.1751","Middle","5677.0589","0.9858","0.0700","Middle","24317.7471","0.0241","0.2335","0.0124","0.0241","-0.0162","0.9935","0.7782","Middle","438085.4747","0.9377","0.2805","Middle","345411.0069","0.0558","1.2683","0.9566","-0.0154","0.0643"
"MKR-USD","3602.356","6/2/2021 3:17:31 PM","1.0090","0.7489","Middle","2972.432147","1","0","Bottom","0.014983","1.0000","0","Bottom","2.30947","0.0000","0.0065","0.0000","1.0040","0.1156","Middle","50.282447","0.9883","0.0749","Middle","122.861894","0.0157","0.4093","0.0169","0.0157","-0.0117","1.0004","0.7489","Middle","2733.244727","1.0024","1.0215","Middle","6303.282745","-0.0020","0.4336","0.9195","-0.0117","-0.0024"
"ALGO-USD","1.055","6/2/2021 3:17:39 PM","1.1727","7.7447","Middle","32812296","1.0020","0.0020","Top","85262","1.0025","0.1234","Middle","63789","-0.0005","1.3366","0.0026","1.0150","0.75","Middle","712903","0.9988","0.5580","Middle","3567008","0.0162","0.1999","0.0217","0.0162","-0.0037","1.1806","8.5139","Middle","31707620","0.9567","0.1200","Middle","18220831","0.2239","1.7402","0.9663","-0.0032","0.0458"
"1INCH-USD","3.495","6/2/2021 3:45:17 PM","1.1358","5.7","Middle","1720742.59","1.0006","0.0006","Top","160.64","0.9966","0.0568","Middle","11662.13","0.0040","0.0138","0.0001","1.0049","0.3372","Middle","67302.13","1.0009","0.5859","Middle","168857.27","0.0040","0.3986","0.0391","0.0040","0.0043","1.1176","5.2326","Middle","1677939.03","0.9747","0.3055","Middle","1186021.25","0.1429","1.4148","0.9751","0.0003","0.0219"
"BAL-USD","30.78351","6/2/2021 3:45:19 PM","1.0711","2.7029","Middle","89839.533","1.0001","0.0001","Top","10.22","1.0039","0.0039","Top","31.821","-0.0038","0.3212","0.0001","0.9995","0.2275","Middle","1680.171","0.9949","0.0982","Middle","1554.313","0.0046","1.0810","0.0187","0.0046","-0.0090","1.0559","2.7469","Middle","86011.552","0.9459","0.4202","Middle","65243.773","0.1100","1.3183","0.9574","-0.0052","0.0580"
"SNX-USD","13.0095","6/2/2021 3:45:23 PM","1.0460","1.9731","Middle","406503.369","1.0000","0.0000","Top","81.416","1.0000","0.0000","Top","199.576","0.0000","0.4079","0.0002","0.9989","0.0948","Middle","6903.768","0.9922","0.2509","Middle","15970.486","0.0067","0.4323","0.0170","0.0067","-0.0078","1.0237","1.9725","Middle","370243.789","0.9536","0.8003","Middle","651845.525","0.0701","0.5680","0.9108","-0.0078","0.0464"
"REN-USD","0.5984","6/2/2021 3:45:32 PM","0.9422","0.3995","Middle","24925360.460163","1.0005","0.0075","Middle","1407.397399","0.9993","0","Bottom","4069.545672","0.0012","0.3458","0.0001","1.0096","0.1429","Middle","450223.393061","0.9644","0.0308","Middle","914493.089046","0.0452","0.4923","0.0181","0.0452","-0.0349","0.9544","0.4135","Middle","20885685.716743","1.1080","8.0748","Middle","58940411.860827","-0.1536","0.3544","0.8379","-0.0361","-0.1087"
"NU-USD","0.3241","6/2/2021 3:45:38 PM","1.0735","1.4271","Middle","16029325.576031","0.9994","0.0101","Middle","848.542577","0.9982","0.0201","Middle","2680.785816","0.0012","0.3165","0.0001","0.9908","0.0302","Middle","265773.756794","0.9966","0.4647","Middle","1268960.811628","-0.0058","0.2094","0.0166","-0.0058","-0.0016","1.0637","1.4271","Middle","15752508.1701","0.9984","0.2723","Middle","13218656.135843","0.0653","1.1917","0.9827","-0.0028","-0.0002"
"ALGO-USD","1.0463","6/2/2021 3:45:42 PM","1.1631","5.3820","Middle","33950925","1.0011","0.0011","Top","2989","0.9992","0","Bottom","6183","0.0019","0.4834","0.0001","1.0042","0.4543","Middle","1769707","0.9988","0.5580","Middle","3567008","0.0054","0.4961","0.0521","0.0054","-0.0004","1.1681","5.2652","Middle","32764424","0.9567","0.1200","Middle","18220831","0.2114","1.7982","0.9651","-0.0023","0.0425"
