"Coin","CurrentPrice","Time","DailyGain","DailyRating","DailyPosition","DailyVolume","60.0.Gain","60.0.Rating","60.0.Position","60.0.Volume","60.1.Gain","60.1.Rating","60.1.Position","60.1.Volume","60.Trajectory","60.VolumeIncrease","60.VolumePercent","3600.0.Gain","3600.0.Rating","3600.0.Position","3600.0.Volume","3600.1.Gain","3600.1.Rating","3600.1.Position","3600.1.Volume","3600.Trajectory","3600.VolumeIncrease","3600.VolumePercent","0.HourTrajectory","1.HourTrajectory","86400.0.Gain","86400.0.Rating","86400.0.Position","86400.0.Volume","86400.1.Gain","86400.1.Rating","86400.1.Position","86400.1.Volume","86400.Trajectory","86400.VolumeIncrease","86400.VolumePercent","0.DayTrajectory","1.DayTrajectory"
"COMP-USD","439.63","6/2/2021 3:45:46 PM","1.0354","1.3343","Middle","15657.733","1.0003","0.0003","Top","0.425","1.0007","0.0007","Top","0.654","-0.0004","0.6498","0.0000","0.9996","0.1077","Middle","179.683","0.9977","0.1966","Middle","654.581","0.0019","0.2745","0.0115","0.0019","-0.0030","1.0276","1.3032","Middle","14984.685","0.9782","0.5752","Middle","33481.176","0.0494","0.4476","0.9570","-0.0026","0.0225"
"ATOM-USD","15.044","6/2/2021 3:45:49 PM","1.0901","5.1410","Middle","1203520.5","1.0007","0.0012","Top","141.4","1.0035","0.0035","Top","1967.7","-0.0028","0.0719","0.0001","1.0013","0.6026","Middle","19855.8","0.9987","0.8198","Middle","30313.4","0.0026","0.6550","0.0165","0.0026","-0.0048","1.0914","4.1590","Middle","1150744.2","0.9850","0.2464","Middle","930104.6","0.1064","1.2372","0.9561","-0.0020","0.0185"
"OMG-USD","6.6763","6/2/2021 3:45:55 PM","1.0599","4.6034","Middle","1079139","1.0000","0.0008","Middle","247.8","1.0011","0.0556","Middle","308.8","-0.0011","0.8025","0.0002","1.0166","0.9831","Middle","14008","0.9879","0.2398","Middle","30833.1","0.0287","0.4543","0.0130","0.0287","-0.0132","1.0550","4.6034","Middle","971217","0.9578","0.3534","Middle","1423708.6","0.0972","0.6822","0.9000","-0.0121","0.0433"
"SUSHI-USD","12.722","6/2/2021 3:46:06 PM","1.0721","4.4467","Middle","988466.1","0.9984","0","Bottom","159.63","1.0008","0.076","Middle","87.96","-0.0024","1.8148","0.0002","1.0018","0.4905","Middle","9428.93","0.9831","0.2284","Middle","35770.08","0.0187","0.2636","0.0095","0.0187","-0.0177","1.0526","4.0532","Middle","915649.07","0.9686","0.7844","Middle","1166122.94","0.0840","0.7852","0.9263","-0.0153","0.0322"
"XLM-USD","0.424595","6/2/2021 3:46:10 PM","0.9982","1.9099","Middle","136701699","1.0008","0.0272","Middle","133882","0.9998","0.0058","Middle","33494","0.0010","3.9972","0.0010","1.0051","0.2562","Middle","2967308","0.9930","0.1954","Middle","5316190","0.0121","0.5582","0.0217","0.0121","-0.0068","1.0098","1.4345","Middle","118732028","1.0391","2.0636","Middle","258630998","-0.0293","0.4591","0.8685","-0.0078","-0.0393"
"ZRX-USD","1.14925","6/2/2021 3:46:14 PM","1.1224","1.7269","Middle","23988539.72779","1","0.0000","Top","792.91489","1.0006","0.0007","Top","600.92023","-0.0006","1.3195","0.0000","1.0061","0.0115","Top","235286.00259","0.9959","0.1533","Middle","549987.96599","0.0102","0.4278","0.0098","0.0102","-0.0047","1.1172","1.4878","Middle","23722866.1968","1.0068","0.2130","Middle","5537952.67536","0.1104","4.2837","0.9889","-0.0041","-0.0062"
"TRB-USD","68.25","6/2/2021 3:46:18 PM","1.1614","55.5641","Middle","85425.512","1.0016","0.0016","Top","60.863","0.9994","0","Bottom","84.067","0.0022","0.7240","0.0007","1.0215","16.3409","Middle","3290.414","1.0007","0.9108","Middle","3460.29","0.0208","0.9509","0.0385","0.0208","0.0013","1.1502","57.5","Middle","82102.205","0.9463","0.2212","Middle","55171.107","0.2039","1.4881","0.9611","-0.0009","0.0531"
"UMA-USD","14.254","6/2/2021 3:46:24 PM","1.0674","1.9659","Middle","212858.673","0.9999","0","Bottom","54.096","1.0006","0.0179","Middle","146.883","-0.0007","0.3683","0.0003","1.0004","0.0736","Middle","5148.647","0.9850","0.2616","Middle","11555.994","0.0154","0.4455","0.0242","0.0154","-0.0156","1.0399","1.9713","Middle","198725.998","0.9900","0.625","Middle","214429.655","0.0499","0.9268","0.9336","-0.0149","0.0106"
"NMR-USD","49.1881","6/2/2021 3:46:26 PM","0.9844","0.4904","Middle","98766.729","1.0021","0.0021","Top","60.991","1.0018","0.0018","Top","0.076","0.0003","802.5132","0.0006","0.9961","0.1228","Middle","1358.35","0.9894","0.1569","Middle","3225.555","0.0067","0.4211","0.0138","0.0067","-0.0124","1.0013","0.4967","Middle","70343.497","0.9416","0.4587","Middle","166903.611","0.0597","0.4215","0.7122","-0.0127","0.0602"
"NKN-USD","0.3855","6/2/2021 3:46:28 PM","1.0470","1.2684","Middle","16142645.8","0.9987","0","Bottom","270.2","0.9987","0","Bottom","1572.3","0.0000","0.1719","0.0000","0.9964","0.0737","Middle","165971","0.9982","0.2022","Middle","516633.6","-0.0018","0.3213","0.0103","-0.0018","-0.0005","1.028","1.2684","Middle","14828526.1","1.0105","0.5623","Middle","34547207.1","0.0175","0.4292","0.9186","-0.0005","-0.0118"
"FORTH-USD","21.869","6/2/2021 3:46:32 PM","0.9921","0.4843","Middle","127500.156","1.0011","0.0011","Top","43.83","1.0000","0.0012","Middle","17.994","0.0011","2.4358","0.0003","0.9946","0.0992","Middle","4585.704","0.9912","0.0642","Middle","9638.082","0.0034","0.4758","0.0360","0.0034","-0.0088","0.9968","0.4960","Middle","116201.74","0.9348","0.6006","Middle","137621.676","0.0620","0.8444","0.9114","-0.0099","0.0652"
"CRV-USD","2.3771","6/2/2021 3:46:36 PM","1.1833","2.7925","Middle","17506264.79","1.0002","0.0034","Middle","283.85","1.0002","0.0122","Middle","2494.07","0.0000","0.1138","0.0000","1.0214","0.0210","Top","221798.65","0.9942","0.1901","Middle","621787.38","0.0272","0.3567","0.0127","0.0272","-0.0060","1.1630","2.9726","Middle","16056140.87","1.0469","0.5596","Middle","5990889.28","0.1161","2.6801","0.9172","-0.0060","-0.0467"
"RLC-USD","5.35","6/2/2021 3:46:37 PM","0.9808","0.8462","Middle","3158148.89","1.0002","0.0017","Top","124.75","0.9994","0","Bottom","54.56","0.0008","2.2865","0.0000","1.0212","0.2853","Middle","72158.06","0.9833","0.0447","Middle","71675.85","0.0379","1.0067","0.0228","0.0379","-0.0161","1.0038","0.8509","Middle","2977478.71","1.0976","1.3854","Middle","6098853.62","-0.0938","0.4882","0.9428","-0.0169","-0.0982"
"MIR-USD","4.942","6/2/2021 3:46:53 PM","1.0369","4.3617","Middle","481084.55","0.9998","0.0833","Middle","200.53","1","0","Bottom","6.65","-0.0002","30.1549","0.0004","0.9962","0.8125","Middle","18739.41","1.0092","3.4375","Middle","65734.97","-0.0130","0.2851","0.0390","-0.0130","0.0092","1.0317","4.25","Middle","431844.03","0.9640","0.195","Middle","528168.96","0.0677","0.8176","0.8976","0.0094","0.0360"
"BAT-USD","0.814","6/2/2021 3:46:55 PM","1.0882","2.4848","Middle","5944539.64","1","0","Bottom","154.45","0.9988","0","Bottom","1299.22","0.0012","0.1189","0.0000","1.0074","0.2581","Middle","260389.63","0.9963","0.1282","Middle","167622.78","0.0111","1.5534","0.0438","0.0111","-0.0025","1.0924","2.7097","Middle","5708957.54","0.9739","0.2277","Middle","2764646.27","0.1185","2.0650","0.9604","-0.0037","0.0249"
"BAND-USD","8.738","6/2/2021 3:47:01 PM","1.0366","1.6841","Middle","750656.13","1","0","Bottom","5.66","1.0009","0.0009","Top","6.48","-0.0009","0.8735","0.0000","1.0047","0.1303","Middle","24331.27","0.9887","0.2383","Middle","56218.34","0.0160","0.4328","0.0324","0.0160","-0.0122","1.0207","1.6047","Middle","651841.88","0.9523","0.5961","Middle","1388305.6","0.0684","0.4695","0.8684","-0.0113","0.0486"
"OGN-USD","1.072","6/2/2021 3:47:03 PM","1.0066","1.1042","Middle","6450400.69","1","0.0019","Top","118.06","1.0019","0.0019","Top","127.04","-0.0019","0.9293","0.0000","1.0094","0.25","Middle","109505.87","0.9879","0.1228","Middle","378872.84","0.0215","0.2890","0.0170","0.0215","-0.0140","1.0152","1.1042","Middle","5699123.25","0.9715","0.1692","Middle","12744642.67","0.0437","0.4472","0.8835","-0.0121","0.0304"
"XTZ-USD","3.86","6/2/2021 3:47:05 PM","1.0592","19.5616","Middle","3184203.6","1","0.0000","Top","47.47","1.0001","0.025","Middle","264.34","-0.0001","0.1796","0.0000","1.0025","2.0479","Middle","70882.81","0.9967","1.3580","Middle","119395.84","0.0058","0.5937","0.0223","0.0058","-0.0034","1.0518","19.5616","Middle","2851228.21","1.0170","1.1036","Middle","3789101.14","0.0348","0.7525","0.8954","-0.0033","-0.0169"
"GRT-USD","0.7737","6/2/2021 3:47:08 PM","1.0061","0.9248","Middle","15994182.92","0.9992","0.0099","Middle","1804.93","1.0005","0.0005","Top","3776.73","-0.0013","0.4779","0.0001","0.9977","0.1259","Middle","566811.79","0.9763","0.0672","Middle","815913.17","0.0214","0.6947","0.0354","0.0214","-0.0242","1.0029","0.8963","Middle","14489206.9","0.9710","0.5312","Middle","24431080.69","0.0319","0.5931","0.9059","-0.0229","0.0295"
"ZEC-USD","166.83","6/2/2021 3:47:10 PM","1.0883","5.0252","Middle","36966.6565761","1.0009","0.0009","Top","14.08077949","0.9992","0","Bottom","0.88692","0.0017","15.8760","0.0004","1.0028","0.3265","Middle","765.73725835","1.0184","1.1546","Middle","1421.66161932","-0.0156","0.5386","0.0207","-0.0156","0.0192","1.0826","5.2711","Middle","32789.41337694","0.9531","0.3604","Middle","32657.62315161","0.1295","1.0040","0.8870","0.0175","0.0461"
"LRC-USD","0.3829","6/2/2021 4:13:54 PM","1.0346","1.2733","Middle","22069780.223741","0.9982","0","Bottom","221.349005","1.0005","0.0005","Top","711.457725","-0.0023","0.3111","0.0000","1.0008","0.0559","Middle","33175.284255","0.9966","0.0054","Middle","553672.619157","0.0042","0.0599","0.0015","0.0042","-0.0039","1.0197","1.2601","Middle","21443467.451312","1.0168","0.7189","Middle","29463369.622072","0.0029","0.7278","0.9716","-0.0016","-0.0163"
"CGLD-USD","3.5116","6/2/2021 4:13:56 PM","1.0243","1.0612","Middle","1501760.53","1","0","Bottom","205.96","1","0","Bottom","60.22","0","3.4201","0.0001","0.9863","0","Bottom","5545.85","1.0098","0.1511","Middle","49028.71","-0.0235","0.1131","0.0037","-0.0235","0.0098","1.0192","0.7607","Middle","1481126.6","0.9733","0.3289","Middle","1215214.8","0.0459","1.2188","0.9863","0.0098","0.0267"
"MATIC-USD","1.8146","6/2/2021 4:13:58 PM","1.0077","0.8568","Middle","85667512.8","0.9986","0.0013","Middle","20667","0.9998","0","Bottom","55689.8","-0.0012","0.3711","0.0002","1.0010","0.0471","Middle","338485.8","1.0014","0.0724","Middle","1756121.7","-0.0004","0.1927","0.0040","-0.0004","0.0016","0.9933","0.8325","Middle","81885520.5","0.9768","0.9410","Middle","134574353.8","0.0165","0.6085","0.9559","0.0028","0.0230"
"WBTC-USD","37837.59","6/2/2021 4:14:00 PM","1.0349","4.4853","Middle","62.58877905","0.9990","0","Bottom","0.00161006","0.9999","0","Bottom","0.00030104","-0.0009","5.3483","0.0000","0.9991","0","Bottom","0.0019111","1.0014","0.3182","Middle","0.17013636","-0.0023","0.0112","0.0000","-0.0023","0.0015","1.0267","4.4853","Middle","62.31564962","0.9896","0.7890","Middle","8.39512158","0.0371","7.4228","0.9956","0.0024","0.0103"
"BTC-USD","37766.24","6/2/2021 4:14:05 PM","1.0366","3.9187","Middle","13638.86892681","0.9992","0.0048","Middle","21.37180446","0.9998","0","Bottom","3.71136287","-0.0006","5.7585","0.0016","1.0004","0.0991","Middle","56.53639151","1.0016","0.2304","Middle","528.93169876","-0.0012","0.1069","0.0041","-0.0012","0.0018","1.0302","4.2240","Middle","13027.929636","0.9841","0.6544","Middle","15713.10281689","0.0461","0.8291","0.9552","0.0024","0.0157"
"MIR-USD","4.912","6/2/2021 4:14:07 PM","1.0240","2.2727","Middle","461525.3","1","0","Bottom","20.66","1","0","Bottom","93.69","0","0.2205","0.0000","0.9961","0.2532","Middle","11610.05","0.9944","0.5263","Middle","19289.43","0.0017","0.6019","0.0252","0.0017","-0.0056","1.0265","2.4521","Middle","443889.25","0.9640","0.195","Middle","528168.96","0.0625","0.8404","0.9618","-0.0056","0.0360"
"ICP-USD","106.483","6/2/2021 4:14:09 PM","0.9899","0.6819","Middle","464691.6527","1.0021","0.0473","Middle","329.1346","1.0014","0.0222","Middle","156.2847","0.0007","2.1060","0.0007","1.0120","0.2029","Middle","5356.5448","0.9959","0.0343","Middle","17867.144","0.0161","0.2998","0.0115","0.0161","-0.0055","0.9908","0.6991","Middle","455632.1046","0.9377","0.2805","Middle","345411.0069","0.0531","1.3191","0.9805","-0.0062","0.0637"
"ADA-USD","1.7686","6/2/2021 4:14:11 PM","1.0271","1.3791","Middle","97419101.53","0.9999","0","Bottom","20114.99","0.9992","0.0190","Middle","19287.75","0.0007","1.0429","0.0002","0.9995","0.0267","Middle","423177.38","1.0038","0.2676","Middle","1859165.96","-0.0043","0.2276","0.0043","-0.0043","0.0046","1.0188","1.3093","Middle","92795651.44","0.9980","1.1526","Middle","108468694.75","0.0208","0.8555","0.9525","0.0039","0.0012"
"CRV-USD","2.342","6/2/2021 4:14:13 PM","1.1368","2.0374","Middle","16874569.33","0.9987","0.0298","Middle","8741.03","0.9984","0","Bottom","2652.48","0.0003","3.2954","0.0005","0.9943","0.0298","Middle","62399.4","1.0126","0.1891","Middle","335618.46","-0.0183","0.1859","0.0037","-0.0183","0.0142","1.1510","2.3616","Middle","16220995.61","1.0469","0.5596","Middle","5990889.28","0.1041","2.7076","0.9613","0.0139","-0.0485"
"1INCH-USD","3.444","6/2/2021 4:14:16 PM","1.1211","3.0916","Middle","1749335.1","0.9994","0.0072","Middle","128.86","1.0003","0.0076","Middle","888.07","-0.0009","0.1451","0.0001","0.9957","0.0072","Middle","6973.6","0.9934","0.0397","Middle","91312.6","0.0023","0.0764","0.0040","0.0023","-0.0069","1.1006","2.8561","Middle","1708923.1","0.9747","0.3055","Middle","1186021.25","0.1259","1.4409","0.9769","-0.0060","0.0256"
"COMP-USD","436.74","6/2/2021 4:14:18 PM","1.0426","1.0394","Middle","15405.416","1.0003","0.0003","Top","0.121","0.9991","0","Bottom","2.395","0.0012","0.0505","0.0000","0.9981","0.0128","Middle","52.427","0.9955","0.0182","Middle","262.065","0.0026","0.2001","0.0034","0.0026","-0.0036","1.0218","1.0528","Middle","15118.436","0.9782","0.5752","Middle","33481.176","0.0436","0.4516","0.9814","-0.0048","0.0209"
"MANA-USD","0.865","6/2/2021 4:14:20 PM","1.0485","5.0909","Middle","6310106","0.9977","0","Bottom","9977.54","0.9977","0","Bottom","1349.77","0.0000","7.3920","0.0016","0.9965","0.1818","Middle","249476.2","1.0058","0.625","Middle","185554.04","-0.0093","1.3445","0.0395","-0.0093","0.0081","1.0422","5.0909","Middle","6174964.54","0.9811","0.6739","Middle","5258306.39","0.0611","1.1743","0.9786","0.0081","0.0166"
"BAND-USD","8.6294","6/2/2021 4:14:22 PM","1.0248","1.0546","Middle","674532.6","1.0000","0","Bottom","83.12","0.9977","0","Bottom","414.93","0.0023","0.2003","0.0001","1.0003","0.0086","Middle","5271.93","0.9963","0.0030","Middle","28310.45","0.0040","0.1862","0.0078","0.0040","-0.0014","1.0093","1.0537","Middle","661448.88","0.9523","0.5961","Middle","1388305.6","0.0570","0.4764","0.9806","-0.0037","0.0454"
"AAVE-USD","386.443","6/2/2021 4:14:25 PM","1.0514","1.6237","Middle","73828.043","0.9996","0","Bottom","2.039","0.9988","0","Bottom","2.865","0.0008","0.7117","0.0000","1.0006","0.0600","Middle","263.884","0.9964","0.0288","Middle","971.491","0.0042","0.2716","0.0036","0.0042","-0.0024","1.0347","1.5959","Middle","69640.293","0.9768","0.4659","Middle","125322.404","0.0579","0.5557","0.9433","-0.0032","0.0220"
"GRT-USD","0.7672","6/2/2021 4:14:30 PM","1.0131","0.6552","Middle","15670704.09","1","0","Bottom","10.45","1","0.0108","Middle","13953.33","0","0.0007","0.0000","0.9973","0","Bottom","122559.12","0.9926","0.0270","Middle","693664.37","0.0047","0.1767","0.0078","0.0047","-0.0074","0.9949","0.6481","Middle","14738618.6","0.9710","0.5312","Middle","24431080.69","0.0239","0.6033","0.9405","-0.0074","0.0290"
"NU-USD","0.3206","6/2/2021 4:14:32 PM","1.0655","1.0641","Middle","16242964.222305","1","0","Bottom","796.732251","1.0006","0.0009","Top","1384.136707","-0.0006","0.5756","0.0000","0.9994","0.0466","Middle","110904.45079","0.9798","0.0170","Middle","535216.89154","0.0196","0.2072","0.0068","0.0196","-0.0208","1.0515","1.0466","Middle","16132855.755636","0.9984","0.2723","Middle","13218656.135843","0.0531","1.2205","0.9932","-0.0202","0.0022"
"SNX-USD","12.9054","6/2/2021 4:14:34 PM","1.0413","1.3998","Middle","399824.633","0.9998","0","Bottom","273.835","0.9986","0","Bottom","13.236","0.0012","20.6887","0.0007","0.9985","0.0313","Middle","4686.686","0.9921","0.0074","Middle","8555.845","0.0064","0.5478","0.0117","0.0064","-0.0065","1.0193","1.6329","Middle","376293.681","0.9536","0.8003","Middle","651845.525","0.0657","0.5773","0.9411","-0.0077","0.0450"
"ALGO-USD","1.0288","6/2/2021 4:14:37 PM","1.1592","3.1348","Middle","33988541","0.9989","0.0078","Middle","1735","0.9979","0.002","Middle","34665","0.0010","0.0501","0.0001","0.9990","0.0196","Middle","233791","0.9873","0.0337","Middle","2241326","0.0117","0.1043","0.0069","0.0117","-0.0106","1.1477","3.0215","Middle","33469834","0.9567","0.1200","Middle","18220831","0.1910","1.8369","0.9847","-0.0116","0.0412"
"CTSI-USD","0.7139","6/2/2021 4:14:38 PM","1.0622","0.9767","Middle","13737762.8","0.9993","0","Bottom","3356.9","0.9986","0","Bottom","10222","0.0007","0.3284","0.0002","0.9987","0.0122","Middle","47567.2","0.9936","0","Bottom","201923.4","0.0051","0.2356","0.0035","0.0051","-0.0050","1.0421","0.9420","Middle","13218630","0.9539","0.1824","Middle","9402518.2","0.0882","1.4059","0.9622","-0.0057","0.0447"
"YFI-USD","45425.68","6/2/2021 4:14:40 PM","1.0245","1.2986","Middle","369.198783","1.0002","0.0309","Middle","0.28318","0.9996","0.0081","Middle","0.152076","0.0006","1.8621","0.0008","0.9978","0.0418","Middle","3.937457","0.9972","0.0417","Middle","5.454478","0.0006","0.7219","0.0107","0.0006","-0.0024","1.0068","1.3498","Middle","338.372959","0.9621","0.7882","Middle","517.149891","0.0447","0.6543","0.9165","-0.0030","0.0375"
"BCH-USD","701.01","6/2/2021 4:14:42 PM","1.0232","1.7060","Middle","41067.09964459","0.9997","0.0117","Middle","5.95498636","0.9995","0","Bottom","1.31971941","0.0002","4.5123","0.0001","0.9996","0.0173","Middle","152.5626581","1.0026","0.1252","Middle","1329.97787777","-0.0030","0.1147","0.0037","-0.0030","0.0031","1.0153","1.8562","Middle","39775.33412908","0.9839","0.9178","Middle","55250.18239841","0.0314","0.7199","0.9685","0.0029","0.0156"
"ENJ-USD","1.593","6/2/2021 4:14:45 PM","1.0244","1.2453","Middle","2888039.4","0.9994","0","Bottom","784.88","0.9975","0","Bottom","1620.56","0.0019","0.4843","0.0003","0.9981","0","Bottom","21718.46","1.0082","0.2766","Middle","83116.43","-0.0101","0.2613","0.0075","-0.0101","0.0107","1.0153","1.2885","Middle","2767832.32","0.9655","0.2821","Middle","5067450.38","0.0498","0.5462","0.9584","0.0088","0.0320"
"FORTH-USD","21.693","6/2/2021 4:14:47 PM","0.9791","0.2058","Middle","128639.287","1.0000","0.0000","Top","331.31","0.9981","0.0010","Middle","591.343","0.0019","0.5603","0.0026","0.9926","0.0010","Middle","5761.958","0.9919","0.0184","Middle","5340.358","0.0007","1.0789","0.0448","0.0007","-0.0062","0.9866","0.1541","Middle","122718.352","0.9348","0.6006","Middle","137621.676","0.0518","0.8917","0.9540","-0.0081","0.0633"
"ZEC-USD","164.45","6/2/2021 4:14:49 PM","1.0815","2.6151","Middle","34453.94762657","0.9993","0","Bottom","20.55408","0.9995","0","Bottom","0.55","-0.0002","37.3711","0.0006","0.9971","0","Bottom","71.27570587","0.9911","0.0335","Middle","907.60696176","0.0060","0.0785","0.0021","0.0060","-0.0084","1.0650","2.4976","Middle","33002.55878622","0.9531","0.3604","Middle","32657.62315161","0.1119","1.0106","0.9579","-0.0082","0.0464"
"NKN-USD","0.3831","6/2/2021 4:14:51 PM","1.0525","1.0140","Middle","15532104.2","0.9987","0","Bottom","13081.2","1.0005","0.0005","Top","183.1","-0.0018","71.4429","0.0008","0.9979","0","Bottom","39118.2","0.9935","0.0199","Middle","248275.9","0.0044","0.1576","0.0025","0.0044","-0.0070","1.0216","1.0140","Middle","14949949.2","1.0105","0.5623","Middle","34547207.1","0.0111","0.4327","0.9625","-0.0052","-0.0100"
"UNI-USD","27.7962","6/2/2021 4:14:53 PM","1.0277","1.4702","Middle","767541.521592","0.9997","0","Bottom","374.750144","0.9993","0.0110","Middle","207.555648","0.0004","1.8055","0.0005","1.0028","0.1454","Middle","4521.656701","0.9989","0.0431","Middle","11853.121352","0.0039","0.3815","0.0059","0.0039","-0.0004","1.0173","1.7271","Middle","733676.705616","0.9702","1.0400","Middle","2376004.412947","0.0471","0.3088","0.9559","-0.0008","0.0291"
"BNT-USD","4.7193","6/2/2021 4:14:55 PM","1.0328","1.7106","Middle","320212.994537","1","0","Bottom","20.420428","1","0","Bottom","6.845599","0","2.9830","0.0001","0.9996","0.0682","Middle","1479.123816","1.0015","0.1625","Middle","3494.327729","-0.0019","0.4233","0.0046","-0.0019","0.0015","1.0188","1.9084","Middle","315012.087815","0.9760","0.7882","Middle","508291.561222","0.0428","0.6197","0.9838","0.0015","0.0240"
"KNC-USD","2.745","6/2/2021 4:14:57 PM","1.2254","2.0368","Middle","24413031.9","0.9899","0.0006","Middle","17209.2","0.9996","0.0133","Middle","4172.4","-0.0097","4.1245","0.0007","1.0116","0.1928","Middle","194317.7","0.9778","0.1035","Middle","576078.1","0.0338","0.3373","0.0080","0.0338","-0.0218","1.1618","1.8100","Middle","23289594.1","1.3956","1.1399","Middle","7650515.4","-0.2338","3.0442","0.9540","-0.0121","-0.3960"
