"Coin","CurrentPrice","Time","DailyGain","DailyRating","DailyPosition","DailyVolume","60.0.Gain","60.0.Rating","60.0.Position","60.0.Volume","60.1.Gain","60.1.Rating","60.1.Position","60.1.Volume","60.Trajectory","60.VolumeIncrease","60.VolumePercent","3600.0.Gain","3600.0.Rating","3600.0.Position","3600.0.Volume","3600.1.Gain","3600.1.Rating","3600.1.Position","3600.1.Volume","3600.Trajectory","3600.VolumeIncrease","3600.VolumePercent","0.HourTrajectory","1.HourTrajectory","86400.0.Gain","86400.0.Rating","86400.0.Position","86400.0.Volume","86400.1.Gain","86400.1.Rating","86400.1.Position","86400.1.Volume","86400.Trajectory","86400.VolumeIncrease","86400.VolumePercent","0.DayTrajectory","1.DayTrajectory"
"KNC-USD","2.7277","6/2/2021 3:16:44 PM","1.2939","2.0996","Middle","24389480.2","1.0039","0.0041","Top","2884.2","1.0028","0.0042","Top","4831.7","0.0011","0.5969","0.0001","0.9908","0.0596","Middle","107594.6","0.9871","0.0746","Middle","969793.6","0.0037","0.1109","0.0044","0.0037","-0.0157","1.1538","1.6562","Middle","22667465.6","1.3956","1.1399","Middle","7650515.4","-0.2418","2.9629","0.9294","-0.0168","-0.3928"
"ADA-USD","1.7686","6/2/2021 4:14:11 PM","1.0271","1.3791","Middle","97419101.53","0.9999","0","Bottom","20114.99","0.9992","0.0190","Middle","19287.75","0.0007","1.0429","0.0002","0.9995","0.0267","Middle","423177.38","1.0038","0.2676","Middle","1859165.96","-0.0043","0.2276","0.0043","-0.0043","0.0046","1.0188","1.3093","Middle","92795651.44","0.9980","1.1526","Middle","108468694.75","0.0208","0.8555","0.9525","0.0039","0.0012"
"CRV-USD","2.342","6/2/2021 4:14:13 PM","1.1368","2.0374","Middle","16874569.33","0.9987","0.0298","Middle","8741.03","0.9984","0","Bottom","2652.48","0.0003","3.2954","0.0005","0.9943","0.0298","Middle","62399.4","1.0126","0.1891","Middle","335618.46","-0.0183","0.1859","0.0037","-0.0183","0.0142","1.1510","2.3616","Middle","16220995.61","1.0469","0.5596","Middle","5990889.28","0.1041","2.7076","0.9613","0.0139","-0.0485"
"NKN-USD","0.3831","6/2/2021 4:14:51 PM","1.0525","1.0140","Middle","15532104.2","0.9987","0","Bottom","13081.2","1.0005","0.0005","Top","183.1","-0.0018","71.4429","0.0008","0.9979","0","Bottom","39118.2","0.9935","0.0199","Middle","248275.9","0.0044","0.1576","0.0025","0.0044","-0.0070","1.0216","1.0140","Middle","14949949.2","1.0105","0.5623","Middle","34547207.1","0.0111","0.4327","0.9625","-0.0052","-0.0100"
"KNC-USD","2.745","6/2/2021 4:14:57 PM","1.2254","2.0368","Middle","24413031.9","0.9899","0.0006","Middle","17209.2","0.9996","0.0133","Middle","4172.4","-0.0097","4.1245","0.0007","1.0116","0.1928","Middle","194317.7","0.9778","0.1035","Middle","576078.1","0.0338","0.3373","0.0080","0.0338","-0.0218","1.1618","1.8100","Middle","23289594.1","1.3956","1.1399","Middle","7650515.4","-0.2338","3.0442","0.9540","-0.0121","-0.3960"
"TRB-USD","66.915","6/2/2021 4:15:11 PM","1.1563","5.9392","Middle","87093.219","0.9988","0.0244","Middle","175.104","0.9978","0.0177","Middle","17.833","0.0010","9.8191","0.0020","0.9856","0.0244","Middle","2427.529","1.0132","1.3769","Middle","4256.847","-0.0276","0.5703","0.0279","-0.0276","0.0154","1.1256","5.4129","Middle","85647.377","0.9463","0.2212","Middle","55171.107","0.1793","1.5524","0.9834","0.0144","0.0515"
"STORJ-USD","1.2472","6/2/2021 5:11:36 PM","1.1776","12.3562","Middle","12603448.89","1.0066","0.0066","Top","147874.73","0.9995","0.1852","Middle","130537.73","0.0071","1.1328","0.0117","1.0498","3.0825","Middle","739677.57","1.0309","0.4495","Middle","888464.02","0.0189","0.8325","0.0587","0.0189","0.0314","1.1786","13.3423","Middle","12646103.4","0.9701","0.1577","Middle","2712099.8","0.2085","4.6628","1.0034","0.0243","0.0294"
"KNC-USD","2.8379","6/2/2021 5:40:01 PM","1.2004","2.9108","Middle","24664125.3","1.0094","0.2537","Middle","118942.7","1.0254","0.3444","Middle","52361.8","-0.0160","2.2716","0.0048","1.0999","1.4568","Middle","739570.8","0.9648","0.1090","Middle","871105.6","0.1351","0.8490","0.0300","0.1351","-0.0606","1.2056","3.1266","Middle","24721357.6","1.3956","1.1399","Middle","7650515.4","-0.1900","3.2313","1.0023","-0.0446","-0.3702"
"KNC-USD","2.7148","6/2/2021 6:09:15 PM","1.0767","1.5600","Middle","22238721.3","0.9997","0","Bottom","10186.5","1.0033","0.0367","Middle","26234.4","-0.0036","0.3883","0.0005","1.0037","0.3149","Middle","184902.1","1.0376","0.4194","Middle","1170281.2","-0.0339","0.1580","0.0083","-0.0339","0.0343","1.0045","0.3227","Middle","206693","1.1372","1.3841","Middle","25152068","-0.1327","0.0082","0.0093","0.0379","-0.1339"
"SKL-USD","0.4218","6/2/2021 7:35:23 PM","1.0176","0.2567","Middle","28351194.3","1.0009","0.0098","Middle","5215.2","1","0.0024","Middle","2153.3","0.0009","2.4220","0.0002","1.0036","0.0415","Middle","950083.8","0.9995","0.0847","Middle","1070845.8","0.0041","0.8872","0.0335","0.0041","-0.0005","1.0033","0.1271","Middle","2091178.4","1.0067","0.3086","Middle","29213917.8","-0.0034","0.0716","0.0738","-0.0014","-0.0067"
