"Coin","CurrentPrice","Time","DailyGain","DailyRating","DailyPosition","DailyVolume","60.0.Gain","60.0.Rating","60.0.Position","60.0.Volume","60.1.Gain","60.1.Rating","60.1.Position","60.1.Volume","60.Trajectory","60.VolumeIncrease","60.VolumePercent","3600.0.Gain","3600.0.Rating","3600.0.Position","3600.0.Volume","3600.1.Gain","3600.1.Rating","3600.1.Position","3600.1.Volume","3600.Trajectory","3600.VolumeIncrease","3600.VolumePercent","0.HourTrajectory","1.HourTrajectory","86400.0.Gain","86400.0.Rating","86400.0.Position","86400.0.Volume","86400.1.Gain","86400.1.Rating","86400.1.Position","86400.1.Volume","86400.Trajectory","86400.VolumeIncrease","86400.VolumePercent","0.DayTrajectory","1.DayTrajectory"
"RLC-USD","5.305","6/2/2021 3:17:42 PM","0.9725","0.6552","Middle","3090332.4","1.0011","0.0011","Top","3.47","1.0011","0.0011","Top","427.13","0.0000","0.0081","0.0000","1.0135","0.0134","Top","4295.87","0.9833","0.0447","Middle","71675.85","0.0302","0.0599","0.0014","0.0302","-0.0178","0.9951","0.6552","Middle","2909613.05","1.0976","1.3854","Middle","6098853.62","-0.1025","0.4771","0.9415","-0.0178","-0.0965"
"OMG-USD","6.6137","6/2/2021 3:18:06 PM","1.0500","2.6665","Middle","1070049.3","0.9995","0","Bottom","261.3","0.9994","0","Bottom","101.1","0.0001","2.5846","0.0002","1.0064","0.2655","Middle","5179.6","0.9879","0.2398","Middle","30833.1","0.0185","0.1680","0.0048","0.0185","-0.0115","1.0444","2.5757","Middle","962388.6","0.9578","0.3534","Middle","1423708.6","0.0866","0.6760","0.8994","-0.0116","0.0416"
"ICP-USD","105.396","6/2/2021 3:46:20 PM","0.9838","0.4414","Middle","466437.0952","1","0","Bottom","4.7426","1","0.0039","Middle","55.6916","0","0.0852","0.0000","0.9963","0.0382","Middle","14076.1712","0.9858","0.0700","Middle","24317.7471","0.0105","0.5788","0.0302","0.0105","-0.0142","0.9802","0.4422","Middle","446484.587","0.9377","0.2805","Middle","345411.0069","0.0425","1.2926","0.9572","-0.0142","0.0623"
"KNC-USD","2.6699","6/2/2021 3:46:44 PM","1.2665","1.6531","Middle","24724668.3","1.0019","0.0129","Middle","1688.4","1.0000","0.0126","Middle","2688.1","0.0019","0.6281","0.0001","0.9725","0.0631","Middle","468089.1","0.9871","0.0746","Middle","969793.6","-0.0146","0.4827","0.0189","-0.0146","-0.0129","1.1333","1.3281","Middle","22988582.8","1.3956","1.1399","Middle","7650515.4","-0.2623","3.0048","0.9298","-0.0148","-0.3956"
"STORJ-USD","1.1407","6/2/2021 3:46:46 PM","1.0902","1.0147","Middle","10785915.67","0.9988","0","Bottom","371.45","0.9986","0","Bottom","318.97","0.0002","1.1645","0.0000","1.0087","0.0907","Middle","70496.22","0.9952","0.0628","Middle","169753.97","0.0135","0.4153","0.0065","0.0135","-0.0034","1.0781","0.8546","Middle","10622933.13","0.9701","0.1688","Middle","2712099.8","0.1080","3.9169","0.9849","-0.0036","0.0285"
"MATIC-USD","1.7882","6/2/2021 4:42:32 PM","0.9930","0.3752","Middle","87196531.9","1.0037","0.0699","Middle","108173.4","0.9982","0.0206","Middle","252810","0.0055","0.4279","0.0012","0.9911","0.1006","Middle","1974321.4","1.0014","0.0724","Middle","1756121.7","-0.0103","1.1243","0.0226","-0.0103","0.0032","0.9835","0.4831","Middle","83521356.1","0.9768","0.9410","Middle","134574353.8","0.0067","0.6206","0.9579","-0.0023","0.0214"
"ENJ-USD","1.57","6/2/2021 4:42:42 PM","1.0096","0.5658","Middle","2981077.51","0.9987","0","Bottom","55.21","1.0026","0.0025","Top","74.93","-0.0039","0.7368","0.0000","0.9837","0.0133","Middle","112416.85","1.0082","0.2766","Middle","83116.43","-0.0245","1.3525","0.0377","-0.0245","0.0056","1.0057","0.7761","Middle","2847149.76","0.9655","0.2821","Middle","5067450.38","0.0402","0.5619","0.9551","0.0095","0.0371"
"1INCH-USD","3.387","6/2/2021 4:42:45 PM","1.1025","1.8511","Middle","1821213.33","0.9976","0","Bottom","2800.29","1.0068","0.1223","Middle","9471.16","-0.0092","0.2957","0.0015","0.9774","0.0297","Middle","54572.44","0.9934","0.0397","Middle","91312.6","-0.0160","0.5976","0.0300","-0.0160","-0.0134","1.0874","1.9778","Middle","1749813.4","0.9747","0.3055","Middle","1186021.25","0.1127","1.4754","0.9608","-0.0042","0.0321"
"BAL-USD","30.27","6/2/2021 4:42:50 PM","1.0563","1.3874","Middle","92330.437","1.0018","0.0028","Top","274.067","1.0031","0.0031","Top","3.877","-0.0013","70.6905","0.0030","0.9905","0.0203","Middle","3457.055","0.9918","0","Bottom","1952.677","-0.0013","1.7704","0.0374","-0.0013","-0.0113","1.0398","1.4803","Middle","90623.491","0.9459","0.4202","Middle","65243.773","0.0939","1.3890","0.9815","-0.0100","0.0572"
"XTZ-USD","3.7703","6/2/2021 4:42:52 PM","1.0367","1.8782","Middle","3124971.09","1.0003","0.0121","Middle","835.96","1.0019","0.0025","Top","4269.32","-0.0016","0.1958","0.0003","0.9831","0.1541","Middle","91290.34","0.9983","0.4448","Middle","88348.81","-0.0152","1.0333","0.0292","-0.0152","-0.0036","1.0287","2.0232","Middle","2959984.55","1.0170","1.1036","Middle","3789101.14","0.0117","0.7812","0.9472","-0.0020","-0.0151"
