"Coin","CurrentPrice","Time","DailyGain","DailyRating","DailyPosition","DailyVolume","60.0.Gain","60.0.Rating","60.0.Position","60.0.Volume","60.1.Gain","60.1.Rating","60.1.Position","60.1.Volume","60.Trajectory","60.VolumeIncrease","60.VolumePercent","3600.0.Gain","3600.0.Rating","3600.0.Position","3600.0.Volume","3600.1.Gain","3600.1.Rating","3600.1.Position","3600.1.Volume","3600.Trajectory","3600.VolumeIncrease","3600.VolumePercent","0.HourTrajectory","1.HourTrajectory","86400.0.Gain","86400.0.Rating","86400.0.Position","86400.0.Volume","86400.1.Gain","86400.1.Rating","86400.1.Position","86400.1.Volume","86400.Trajectory","86400.VolumeIncrease","86400.VolumePercent","0.DayTrajectory","1.DayTrajectory"
"ATOM-USD","15.021","6/2/2021 9:01:42 PM","1.0710","3.3463","Middle","1149865.1","1","0.0719","Middle","1276.7","0.9966","0.0448","Middle","5257.5","0.0034","0.2428","0.0011","1.0206","0.0243","Top","28680.3","0.9990","0.0418","Middle","27154.1","0.0216","1.0562","0.0249","0.0216","0.0024","1.0097","1.0778","Middle","90774.2","1.0804","2.5915","Middle","1216211.7","-0.0707","0.0746","0.0789","-0.0010","-0.0838"
"NU-USD","0.355","6/2/2021 9:30:27 PM","1.1837","4.5156","Middle","29031383.299026","0.9994","0","Bottom","3234.290928","1.0034","0.1382","Middle","29491.041846","-0.0040","0.1097","0.0001","1.0166","0.5887","Middle","2249847.109675","1.0375","0.8942","Middle","8589066.292218","-0.0209","0.2619","0.0775","-0.0209","0.0341","1.1069","2.8321","Middle","13327380.974307","1.0515","0.5211","Middle","17654847.200666","0.0554","0.7549","0.4591","0.0381","-0.0481"
"STORJ-USD","1.1545","6/2/2021 9:30:51 PM","1.0027","0.5591","Middle","9277817.72","1","0","Bottom","126.47","1.0002","0.0009","Top","2553.41","-0.0002","0.0495","0.0000","1.0018","0.0319","Middle","40126.35","1.0068","0.1252","Middle","359929.29","-0.0050","0.1115","0.0043","-0.0050","0.0066","0.9710","0.1453","Middle","1594943.38","1.1262","2.0240","Middle","14615579.01","-0.1552","0.1091","0.1719","0.0068","-0.1260"
"SNX-USD","13.0597","6/2/2021 9:31:06 PM","1.0430","1.6638","Middle","399495.811","1.0006","0.0252","Middle","1859.991","1.0001","0.0006","Top","435.607","0.0005","4.2699","0.0047","1.0118","0.4091","Middle","11047.163","1.0195","0.5561","Middle","12699.669","-0.0077","0.8699","0.0277","-0.0077","0.0194","1.0192","1.1245","Middle","74979.907","1.0085","1.0595","Middle","393319.216","0.0107","0.1906","0.1877","0.0189","-0.0084"
"REN-USD","0.6005","6/2/2021 9:31:21 PM","0.9929","1.5086","Middle","19053144.676728","1","0.0506","Middle","2808.311024","0.9988","0","Bottom","4028.577126","0.0012","0.6971","0.0001","1.0291","0.9831","Middle","597846.97748","1.0099","0.2651","Middle","580655.711402","0.0192","1.0296","0.0314","0.0192","0.0111","1.0055","1.4663","Middle","2451646.240075","0.9519","0.7163","Middle","22452557.192575","0.0536","0.1092","0.1287","0.0099","0.0469"
"CTSI-USD","0.7134","6/2/2021 9:31:44 PM","1.0607","0.7589","Middle","13565245.3","1.0007","0.0007","Top","33.3","1.0044","0.0044","Top","10550.2","-0.0037","0.0032","0.0000","1.0145","0.2145","Middle","275645.7","0.9967","0.0773","Middle","223038.7","0.0178","1.2359","0.0203","0.0178","-0.0077","1.0025","0.2855","Middle","1297627","1.0418","0.9352","Middle","13421776.2","-0.0393","0.0967","0.0957","-0.0040","-0.0374"
"CRV-USD","2.4143","6/2/2021 9:59:29 PM","1.1360","2.9096","Middle","14968273.18","1.0013","0.0018","Top","991.06","1.0006","0.0006","Top","570.2","0.0007","1.7381","0.0001","1.0357","0.8017","Middle","559988.69","1.0092","0.1844","Middle","220752.56","0.0265","2.5367","0.0374","0.0265","0.0086","1.0344","1.1954","Middle","1429584.97","1.1382","1.8852","Middle","16861765.05","-0.1038","0.0848","0.0955","0.0079","-0.1376"
"ATOM-USD","15.816","6/2/2021 9:59:35 PM","1.1277","383.2","Middle","1266731","1.0023","-0.9487","Middle","761","1.0005","5.6667","Middle","737.7","0.0018","1.0316","0.0006","1.0523","-22.1026","Middle","124151.4","1.0206","0.0243","Top","28680.3","0.0317","4.3288","0.0980","0.0317","0.0201","1.0572","11.4624","Middle","199726.8","1.0804","1.3389","Middle","1216211.7","-0.0232","0.1642","0.1577","0.0183","-0.0799"
"KNC-USD","2.6647","6/2/2021 10:00:17 PM","1.1206","1.2445","Middle","21819773.4","1.0003","0.0094","Middle","495.6","0.9959","0.0007","Middle","3612","0.0044","0.1372","0.0000","1.0003","0.0094","Middle","495.6","0.9600","0.0646","Middle","504755.9","0.0403","0.0010","0.0000","0.0403","-0.0359","0.9887","0.2017","Middle","2589454.9","1.1372","1.3841","Middle","25152068","-0.1485","0.1030","0.1187","-0.0403","-0.1413"
"ATOM-USD","16.24","6/2/2021 10:27:39 PM","1.1559","0.1441","Top","1291883.4","1.0075","0.0089","Top","4632.9","1.0028","0.0068","Top","3731.8","0.0047","1.2415","0.0036","1.0322","0.0394","Top","66183.4","1.0516","2.1846","Middle","124717","-0.0194","0.5307","0.0512","-0.0194","0.0488","1.0998","0.1038","Top","275140.4","1.0804","0.9327","Middle","1216211.7","0.0194","0.2262","0.2130","0.0441","-0.0776"
"CRV-USD","2.5795","6/2/2021 10:28:09 PM","1.1950","0.1667","Top","15094822.15","1.0086","3.0253","Middle","24474.89","1.0022","0.0031","Top","8584.65","0.0064","2.8510","0.0016","1.0618","19.3544","Middle","398141.87","1.0390","0.5771","Middle","561710.37","0.0228","0.7088","0.0264","0.0228","0.0368","1.1018","35.6203","Middle","1829448.52","1.1382","1.4177","Middle","16861765.05","-0.0364","0.1085","0.1212","0.0304","-0.1360"
"GRT-USD","0.8059","6/2/2021 11:24:40 PM","1.0422","4.0391","Middle","16135902.72","1.0038","0.3735","Middle","18221.19","0.9981","0.2034","Middle","44682.3","0.0057","0.4078","0.0011","1.0249","2.6024","Middle","1388788.27","1.0107","0.3922","Middle","356033.02","0.0142","3.9007","0.0861","0.0142","0.0126","1.0577","6.7711","Middle","3591963.79","0.9936","0.5541","Middle","16054313.56","0.0641","0.2237","0.2226","0.0069","0.0045"
"NU-USD","0.3459","6/2/2021 11:54:29 PM","1.1438","2.0087","Middle","33260857.906602","1.0003","0.0003","Top","138.042956","0.9997","0.0395","Middle","5604.753294","0.0006","0.0246","0.0000","0.9676","0.0485","Middle","718995.436371","0.9903","0.2545","Middle","1516655.800402","-0.0227","0.4741","0.0216","-0.0227","-0.0094","1.0819","1.3568","Middle","18267917.500202","1.0515","0.5103","Middle","17654847.200666","0.0304","1.0347","0.5492","-0.0100","-0.0518"
"ALGO-USD","1.0392","6/3/2021 12:22:54 AM","1.1435","3.4936","Middle","42206008","0.9997","0","Bottom","533","1.0003","0.0071","Middle","20754","-0.0006","0.0257","0.0000","0.9926","0.1018","Middle","280769","1.0204","0.0203","Top","708122","-0.0278","0.3965","0.0067","-0.0278","0.0201","1.0188","0.8855","Middle","9472363","1.1390","2.4890","Middle","36298281","-0.1202","0.2610","0.2244","0.0207","-0.1387"
