"Coin","CurrentPrice","Time","DailyGain","DailyRating","DailyPosition","DailyVolume","60.0.Gain","60.0.Rating","60.0.Position","60.0.Volume","60.1.Gain","60.1.Rating","60.1.Position","60.1.Volume","60.Trajectory","60.VolumeIncrease","60.VolumePercent","3600.0.Gain","3600.0.Rating","3600.0.Position","3600.0.Volume","3600.1.Gain","3600.1.Rating","3600.1.Position","3600.1.Volume","3600.Trajectory","3600.VolumeIncrease","3600.VolumePercent","0.HourTrajectory","1.HourTrajectory","86400.0.Gain","86400.0.Rating","86400.0.Position","86400.0.Volume","86400.1.Gain","86400.1.Rating","86400.1.Position","86400.1.Volume","86400.Trajectory","86400.VolumeIncrease","86400.VolumePercent","0.DayTrajectory","1.DayTrajectory"
"ICP-USD","105.396","6/2/2021 3:46:20 PM","0.9838","0.4414","Middle","466437.0952","1","0","Bottom","4.7426","1","0.0039","Middle","55.6916","0","0.0852","0.0000","0.9963","0.0382","Middle","14076.1712","0.9858","0.0700","Middle","24317.7471","0.0105","0.5788","0.0302","0.0105","-0.0142","0.9802","0.4422","Middle","446484.587","0.9377","0.2805","Middle","345411.0069","0.0425","1.2926","0.9572","-0.0142","0.0623"
"KNC-USD","2.6699","6/2/2021 3:46:44 PM","1.2665","1.6531","Middle","24724668.3","1.0019","0.0129","Middle","1688.4","1.0000","0.0126","Middle","2688.1","0.0019","0.6281","0.0001","0.9725","0.0631","Middle","468089.1","0.9871","0.0746","Middle","969793.6","-0.0146","0.4827","0.0189","-0.0146","-0.0129","1.1333","1.3281","Middle","22988582.8","1.3956","1.1399","Middle","7650515.4","-0.2623","3.0048","0.9298","-0.0148","-0.3956"
"STORJ-USD","1.1407","6/2/2021 3:46:46 PM","1.0902","1.0147","Middle","10785915.67","0.9988","0","Bottom","371.45","0.9986","0","Bottom","318.97","0.0002","1.1645","0.0000","1.0087","0.0907","Middle","70496.22","0.9952","0.0628","Middle","169753.97","0.0135","0.4153","0.0065","0.0135","-0.0034","1.0781","0.8546","Middle","10622933.13","0.9701","0.1688","Middle","2712099.8","0.1080","3.9169","0.9849","-0.0036","0.0285"
"1INCH-USD","3.387","6/2/2021 4:42:45 PM","1.1025","1.8511","Middle","1821213.33","0.9976","0","Bottom","2800.29","1.0068","0.1223","Middle","9471.16","-0.0092","0.2957","0.0015","0.9774","0.0297","Middle","54572.44","0.9934","0.0397","Middle","91312.6","-0.0160","0.5976","0.0300","-0.0160","-0.0134","1.0874","1.9778","Middle","1749813.4","0.9747","0.3055","Middle","1186021.25","0.1127","1.4754","0.9608","-0.0042","0.0321"
"CRV-USD","2.2948","6/2/2021 4:42:54 PM","1.1139","1.3960","Middle","17120243.94","0.9993","0.0050","Middle","12224.92","1.0010","0.0134","Middle","1234.3","-0.0017","9.9043","0.0007","0.9729","0.0523","Middle","317803.9","1.0126","0.1891","Middle","335618.46","-0.0397","0.9469","0.0186","-0.0397","0.0116","1.1206","1.4154","Middle","16487764.58","1.0469","0.5596","Middle","5990889.28","0.0737","2.7521","0.9631","0.0133","-0.0459"
"BAND-USD","8.502","6/2/2021 4:43:10 PM","1.0097","0.6113","Middle","687043.53","1","0","Bottom","101.85","1.0017","0.0279","Middle","474.06","-0.0017","0.2148","0.0001","0.9818","0.0711","Middle","18179.22","0.9963","0.0030","Middle","28310.45","-0.0145","0.6421","0.0265","-0.0145","-0.0054","0.9944","0.6113","Middle","674000.28","0.9523","0.5961","Middle","1388305.6","0.0421","0.4855","0.9810","-0.0037","0.0494"
"GRT-USD","0.7575","6/2/2021 4:43:21 PM","1.0003","0.3690","Middle","16321223.39","1.0004","0.0004","Top","96.42","0.9996","0.0020","Middle","2781.35","0.0008","0.0347","0.0000","0.9850","0.0429","Middle","770189.76","0.9926","0.0270","Middle","693664.37","-0.0076","1.1103","0.0472","-0.0076","-0.0070","0.9827","0.3714","Middle","15386249.24","0.9710","0.5312","Middle","24431080.69","0.0117","0.6298","0.9427","-0.0078","0.0286"
"DASH-USD","200.234","6/2/2021 4:43:23 PM","1.0552","1.4660","Middle","24099.52537253","0.9999","0.0048","Middle","9.04","0.9997","0","Bottom","57.171","0.0002","0.1581","0.0004","0.9870","0","Bottom","470.60774225","1.0004","0.1524","Middle","667.3020423","-0.0134","0.7052","0.0195","-0.0134","0.0007","1.0421","1.4660","Middle","23000.34357817","0.9710","0.4110","Middle","23361.49645721","0.0711","0.9845","0.9544","0.0005","0.0287"
"LTC-USD","185.06","6/2/2021 4:43:25 PM","1.0195","1.0773","Middle","287966.72489116","0.9991","0.0171","Middle","151.89215014","0.9983","0.0158","Middle","224.03647944","0.0008","0.6780","0.0005","0.9846","0.0621","Middle","8327.97857922","1.0078","0.4435","Middle","7167.05468696","-0.0232","1.1620","0.0289","-0.0232","0.0095","1.0140","1.2592","Middle","273651.91073187","0.9730","0.8444","Middle","382106.93051135","0.0410","0.7162","0.9503","0.0087","0.0253"
"CTSI-USD","0.7049","6/2/2021 4:43:33 PM","1.0488","0.7026","Middle","13859543.8","0.9999","0","Bottom","29.2","0.9987","0.0076","Middle","5185.3","0.0012","0.0056","0.0000","0.9884","0.0231","Middle","155801.2","0.9936","0","Bottom","201923.4","-0.0052","0.7716","0.0112","-0.0052","-0.0051","1.0303","0.7","Middle","13330220.9","0.9539","0.1824","Middle","9402518.2","0.0764","1.4177","0.9618","-0.0063","0.0448"
